Domain Name,Organization Name
indianexpress.com,The Indian Express
nypost.com,New York Post
npr.org,NPR
usatoday.com,USA Today
hindustantimes.com,Hindustan Times
nytimes.com,The New York Times
gazzetta.it,La Gazzetta dello Sport
thetimes.co.uk,The Times
dailymail.co.uk,Mail Online
newsweek.com,Newsweek
theatlantic.com,The Atlantic
cbsnews.com,CBS News
onet.pl,Onet
abcnews.go.com,ABC News
elpais.com,EL PAÍS
time.com,Time
vice.com,Vice
cbc.ca,CBC.ca
economist.com,The Economist
foxnews.com,Fox News
repubblica.it,Repubblica.it
hollywoodreporter.com,The Hollywood Reporter
latimes.com,Los Angeles Times
independent.co.uk,The Independent
aljazeera.com,Al Jazeera
bostonglobe.com,Boston Globe
mic.com,Mic
usnews.com,U.S. News & World Report
theverge.com,The Verge
thehindu.com,The Hindu
chicagotribune.com,Chicago Tribune
theage.com.au,The Age
dnaindia.com,DNA India
politico.com,Politico
bbc.co.uk,BBC
slate.com,Slate Magazine
indiatimes.com,India Times
andhrajyothy.com,Andhrajyothi
globaltimes.cn,Global Times
tass.ru,ТАСС
ft.com,Financial Times
bloomberg.com,Bloomberg
salon.com,Salon
pravdareport.com,Pravda Report
welt.de,Die Welt
mathrubhumi.com,Mathrubhumi
ilsole24ore.com,Il Sole 24 Ore
elmundo.es,El Mundo
reuters.com,Reuters
washingtontimes.com,Washington Times
infobae.com,Infobae
sueddeutsche.de,Süddeutsche.de
theintercept.com,The Intercept
weather.com,The Weather Channel
france24.com,France 24
nj.com,NJ.com
vox.com,Vox
xinhuanet.com,Xinhua News Agency
propublica.org,ProPublica
corriere.it,Corriere della Sera
wired.com,Wired
elperiodico.com,El Periódico
euronews.com,Euronews
theglobeandmail.com,The Globe and Mail
cnn.com,CNN
sfgate.com,SFGate
thedailybeast.com,The Daily Beast
thestar.com,The Star
news.sky.com,Sky News
anandabazar.com,Anandabazar
shanghaidaily.com,Shanghai Daily
arstechnica.com,Ars Technica
wp.pl,Wirtualna Polska
vanityfair.com,Vanity Fair
spiegel.de,Spiegel Online
fortune.com,Fortune
washingtonpost.com,Washington Post
cnbc.com,CNBC
lemonde.fr,Le Monde.fr
businessinsider.com,Business Insider
nbcnews.com,NBC News
forbes.com,Forbes
wsj.com,The Wall Street Journal
theguardian.com,The Guardian
qz.com,Quartz
themoscowtimes.com,The Moscow Times
lavanguardia.com,La Vanguardia
thehill.com,The Hill
lastampa.it,La Stampa
huffingtonpost.com,Huffington Post
ap.org,Associated Press
smh.com.au,The Sydney Morning Herald
faz.net,FAZ.NET
sw.com,sw.com
people.cn,People’s Daily
abc.es,ABC.es
alarabiya.net,Al Arabiya
buzzfeed.com,BuzzFeed
techcrunch.com,TechCrunch
newyorker.com,The New Yorker
mashable.com,Mashable
msnbc.com,MSNBC
cnet.com,CNET
espn.com,ESPN
gizmodo.com,Gizmodo Media
nzz.ch,Neue Zürcher Zeitung
t-online.de,T-Online.de
t3n.de,t3n
tagesschau.de,Tagesschau
heute.de,heute.de
ard.de,ARD
zdf.de,ZDF
mdr.de,mdr
ndr.de,NDR
wdr.de,WDR
ze.tt,zett
bento.de,Bento
sport1.de,Sport1
sportbild.bild.de,Sportbild
tagesspiegel.de,Tagesspiegel
mopo.de,Hamburger Morgenpost
morgenpost.de,Berliner Morgenpost
berliner-zeitung.de,Berliner Zeitung
bz-berlin.de,B.Z. Berlin
abendzeitung.de,Abendzeitung
blick.ch,Blick
handelsblatt.com,Handelsblatt
wiwo.de,WirtschaftsWoche
ran.de,ran.de
tagesanzeiger.ch,Tagesanzeiger
derstandard.at,Der Standard
diestandard.at,Die Standard
weltwoche.ch,Weltwoche
heute.at,heute.at
golem.de,Golem
netzwelt.de,Netzwelt
n-tv.de,n-tv.de
focus.de,FOCUS Online
stern.de,Stern.de
